iter	Passed	Remaining
0	57	57500
1	57	28845
2	58	19282
3	58	14502
4	58	11632
5	58	9729
6	58	8363
7	59	7338
8	59	6540
9	59	5904
10	59	5383
11	60	4948
12	60	4579
13	60	4264
14	60	3990
15	60	3750
16	61	3538
17	61	3350
18	61	3183
19	61	3031
20	62	2895
21	62	2770
22	62	2657
23	62	2552
24	62	2456
25	63	2368
26	63	2285
27	63	2209
28	63	2138
29	64	2072
30	64	2009
31	64	1951
32	64	1896
33	64	1845
34	65	1796
35	65	1750
36	65	1707
37	65	1666
38	66	1626
39	66	1589
40	66	1555
41	66	1522
42	66	1490
43	67	1459
44	67	1429
45	67	1401
46	67	1374
47	67	1348
48	68	1323
49	68	1299
50	68	1276
51	68	1254
52	69	1232
53	69	1212
54	69	1193
55	69	1173
56	69	1155
57	70	1137
58	70	1120
59	70	1103
60	70	1087
61	70	1071
62	71	1056
63	71	1042
64	71	1028
65	71	1014
66	71	1000
67	71	986
68	72	973
69	72	961
70	72	949
71	72	937
72	72	926
73	73	915
74	73	905
75	73	894
76	73	884
77	73	874
78	74	864
79	74	855
80	74	846
81	74	837
82	74	828
83	75	819
84	75	810
85	75	802
86	75	793
87	75	785
88	76	778
89	76	770
90	76	763
91	76	756
92	76	749
93	77	742
94	77	735
95	77	729
96	78	728
97	78	721
98	78	715
99	78	709
100	78	703
101	79	696
102	79	690
103	79	684
104	79	678
105	79	673
106	80	667
107	80	662
108	80	657
109	80	652
110	80	647
111	81	642
112	81	638
113	81	633
114	81	628
115	81	623
116	81	618
117	82	614
118	82	610
119	82	605
120	82	601
121	83	597
122	83	592
123	83	588
124	83	584
125	83	580
126	83	576
127	83	571
128	84	568
129	84	564
130	84	560
131	84	557
132	84	553
133	85	550
134	85	546
135	85	543
136	85	540
137	85	536
138	86	533
139	86	529
140	86	526
141	86	523
142	86	520
143	87	517
144	87	514
145	87	511
146	87	508
147	87	505
148	88	502
149	88	499
150	88	497
151	88	494
152	88	491
153	88	488
154	89	486
155	89	483
156	89	480
157	89	478
158	89	475
159	90	473
160	90	470
161	90	468
162	90	465
163	90	463
164	91	460
165	91	458
166	91	456
167	91	453
168	91	451
169	92	449
170	92	447
171	92	444
172	92	442
173	92	440
174	93	438
175	93	436
176	93	434
177	93	432
178	93	430
179	93	428
180	94	425
181	94	423
182	94	421
183	94	419
184	94	417
185	95	415
186	95	413
187	95	411
188	95	410
189	95	408
190	95	406
191	96	404
192	96	402
193	96	401
194	96	399
195	96	397
196	97	395
197	97	394
198	97	392
199	97	390
200	97	389
201	98	387
202	98	386
203	98	384
204	98	382
205	98	381
206	99	379
207	99	378
208	99	376
209	99	375
210	99	373
211	100	372
212	100	370
213	100	369
214	100	367
215	100	366
216	101	364
217	101	363
218	101	361
219	101	360
220	101	359
221	102	357
222	102	356
223	102	354
224	103	356
225	103	355
226	103	353
227	104	352
228	104	351
229	104	349
230	104	348
231	104	347
232	105	345
233	105	344
234	105	343
235	105	342
236	105	340
237	106	339
238	106	338
239	106	337
240	106	335
241	106	334
242	107	333
243	107	332
244	107	330
245	107	329
246	107	328
247	107	327
248	108	326
249	108	325
250	108	324
251	108	323
252	109	321
253	109	320
254	109	319
255	109	318
256	109	317
257	110	316
258	110	315
259	110	314
260	110	313
261	110	312
262	110	311
263	111	309
264	111	308
265	111	307
266	111	306
267	112	305
268	112	304
269	112	303
270	112	302
271	112	301
272	112	300
273	113	299
274	113	298
275	113	297
276	113	296
277	113	295
278	114	295
279	114	294
280	114	293
281	114	292
282	114	291
283	115	290
284	115	289
285	115	288
286	115	287
287	115	286
288	116	285
289	116	284
290	116	283
291	116	283
292	116	282
293	117	281
294	117	280
295	117	279
296	117	278
297	117	277
298	118	276
299	118	276
300	118	275
